"","current_year","game_of_the_year","max_sales_of_the_year","total_sales"
"1","1980","Asteroids","4.31","11.38"
"2","1981","Pitfall!","4.5","35.77"
"3","1982","Pac-Man","7.81","28.86"
"4","1983","Baseball","3.2","16.79"
"5","1984","Duck Hunt","28.31","50.36"
"6","1985","Super Mario Bros.","40.24","53.94"
"7","1986","The Legend of Zelda","6.51","37.07"
"8","1987","Zelda II: The Adventure of Link","4.38","21.74"
"9","1988","Super Mario Bros. 3","17.28","47.22"
"10","1989","Tetris","30.26","73.45"
"11","1990","Super Mario World","20.61","49.39"
"12","1991","The Legend of Zelda: A Link to the Past","4.61","32.23"
"13","1992","Super Mario Land 2: 6 Golden Coins","11.18","76.16"
"14","1993","Super Mario All-Stars","10.55","45.98"
"15","1994","Donkey Kong Country","9.3","79.17"
"16","1995","Donkey Kong Country 2: Diddy's Kong Quest","5.15","88.11"
"17","1996","Pokemon Red/Pokemon Blue","31.37","199.15"
"18","1997","Gran Turismo","10.95","200.98"
"19","1998","Pokémon Yellow: Special Pikachu Edition","14.64","256.47"
"20","1999","Pokemon Gold/Pokemon Silver","23.1","251.27"
"21","2000","Pokémon Crystal Version","6.39","201.56"
"22","2001","Gran Turismo 3: A-Spec","14.98","331.47"
"23","2002","Grand Theft Auto: Vice City","16.15","395.52"
"24","2003","Need for Speed Underground","7.2","357.85"
"25","2004","Grand Theft Auto: San Andreas","20.81","419.31"
"26","2005","Nintendogs","24.76","459.94"
"27","2006","Wii Sports","82.74","521.04"
"28","2007","Wii Fit","22.72","611.13"
"29","2008","Mario Kart Wii","35.82","678.9"
"30","2009","Wii Sports Resort","33","667.3"
"31","2010","Kinect Adventures!","21.82","600.45"
"32","2011","Call of Duty: Modern Warfare 3","14.76","515.99"
"33","2012","Call of Duty: Black Ops II","14.03","363.54"
"34","2013","Grand Theft Auto V","21.4","368.11"
"35","2014","Grand Theft Auto V","11.98","337.05"
"36","2015","Call of Duty: Black Ops 3","14.24","264.44"
"37","2016","FIFA 17","4.77","70.93"
"38","2017","Phantasy Star Online 2 Episode 4: Deluxe Package","0.03","0.05"
